causing_factor,caused_factor,d_rank,turb_strength,calm_strength
inflation,commodities,-0.09999999999999999,2.0032653427811855,2.577953907895048
rates,commodities,-0.10000000000000003,3.7609526284168853,3.7424928936425377
equity,credit,-0.11111111111111105,11.032142923055341,11.598554988614708
quality,credit,-0.12222222222222223,8.898715186351632,9.902209823925745
rates,inflation,-0.12777777777777777,11.913596709823596,20.56255881388652
rates,equity,-0.1333333333333333,3.645761731711212,3.856262381249028
quality,equity,-0.13333333333333341,5.8686249878720345,5.303906014387433
rates,quality,-0.14444444444444443,3.799591512840737,4.211743365070234
credit,inflation,-0.14444444444444443,5.042657607491087,4.872229871559895
em_equity,vix,-0.15555555555555556,1.5985665659724586,2.8680330191285233
em_equity,inflation,-0.17222222222222217,6.190224922315186,5.87964831596876
equity,inflation,-0.20000000000000007,7.071080117482592,8.050800125691891
quality,inflation,-0.2055555555555556,6.682399004140393,7.469557841550417
fx_usd,rates,-0.21111111111111114,8.616247240079653,12.117621300073239
equity,quality,-0.22222222222222227,5.66575885358001,6.208727053077143
commodities,equity,-0.2666666666666667,3.4291529283784388,4.379425395427411
value,inflation,-0.2777777777777778,8.200998263475977,12.125562954070245
value,commodities,-0.28888888888888886,3.7000287112980828,4.7112088761259034
credit,em_equity,-0.3,2.6890454082807222,4.165521135085573
rates,vix,-0.3055555555555556,2.874600683548667,4.241042600580029
value,vix,-0.3111111111111111,1.392835754738932,3.7180585726137383
fx_usd,equity,-0.3222222222222222,4.865359680925711,6.865124832606644
fx_usd,quality,-0.3555555555555555,5.719594096199286,9.28089064995605
rates,credit,-0.4,3.8943861822429504,5.815309870512018
commodities,rates,-0.42222222222222217,3.1368424503360117,5.189422144840989
fx_usd,value,-0.4222222222222222,5.518550491515029,10.218402990195631
vix,commodities,-0.4444444444444445,2.9986311322439057,5.06863561381811
credit,commodities,-0.46111111111111114,3.0280408753503987,5.2492357376230965
equity,commodities,-0.47777777777777775,3.212998143537203,5.6483896576199255
vix,fx_usd,-0.47777777777777786,5.334055672318153,10.36610562162681
commodities,value,-0.4888888888888889,4.051377117009253,8.34212091243242
value,equity,-0.48888888888888893,3.0451658788868157,5.4612948194858975
value,em_equity,-0.6222222222222222,4.148294829928509,12.949576476315752
commodities,em_equity,-0.6444444444444445,2.6780664453205527,7.140541463899274
quality,commodities,-0.6666666666666666,2.8631886102403628,7.9341879925220695
commodities,vix,-0.7444444444444445,0.63865466512064,7.217682725244278
fx_usd,vix,-0.7777777777777778,2.5509294713525623,9.796292274379812
equity,em_equity,-0.8111111111111111,2.049284555110026,10.216489298612597
commodities,inflation,-0.8555555555555555,1.7758893765179182,10.246440500860936
quality,em_equity,-0.9111111111111111,0.991355090205844,10.396028377182986
